Category,ID,Symbol
concentration,parts_per_million,ppm
concentration,parts_per_billion,ppb
concentration,ug_per_cubic_meter,µg/m3
concentration,mg_per_liter,mg/L
concentration,grams_per_kilogram,g/kg
current,amperes,A
current,milliamperes,mA
energy,megavolt_ampere_hour,MVAh
energy,kilovolt_ampere_hour,kVAh
energy,volt_ampere_hour,VAh
energy,btu,BTU
energy,kilobtu,kBTU
energy,megabtu,MBTU
energy,microbtu,mBTU
energy,cubic_feet_natural_gas,ft³_gas
energy,kilowatt_hour,kWh
energy,ton_hour,ton-hour
energy,watt_hour,Wh
energy,megawatt_hour,MWh
energy,kilovolt_ampere_reactive_hour,kVARh
energy,volt_ampere_reactive_hour,VARh
energy,megavolt_ampere_reactive_hour,MVARh
energy,gigajoule,GJ
energy,joule,J
energy,joules_per_hour,J/h
energy,gigajoule_per_hour,GJ/h
energy,gigawatt_hour,GWH
energy,kilowatt_hour_per_celsius,kWh/°C
energy,therm,therm
mass,kilopounds,klb
mass,pounds,lb
mass,kilograms,kg
mass,gram,g
mass,ton,ton
massflowrate,kilopounds_per_hour,klb/h
massflowrate,pounds_per_second,lb/s
massflowrate,pounds_per_minute,lb/min
massflowrate,pounds_per_hour,lb/h
massflowrate,kilograms_per_hour,kg/h
massflowrate,kilograms_per_second,kg/s
flowrate,cubic_meters_per_hour,m³/h
flowrate,cubic_feet_per_hour,cfh
flowrate,cubic_feet_per_second,cfs
flowrate,liters_per_hour,L/h
flowrate,cubic_meters_per_second,m³/s
flowrate,liters_per_second,L/s
flowrate,liters_per_minute,L/min
flowrate,cubic_feet_per_minute,cfm
flowrate,cubic_meters_per_minute,m³/min
flowrate,gallons_per_minute,gal/min
flowrate,gallons_per_hour,gal/hr
flowrate,hundred_cubic_feet_per_hour,ccf/h
flowrate,milliliters_per_minute,mL/min
flowrate,air_changes_per_hour,acph
frequency,hertz,Hz
frequency,megahertz,MHz
frequency,kilohertz,kHz
frequency,gigahertz,GHz
frequency,cycles_per_second,cps
frequency,pulses_tally,pulses
humidity,percent_relative_humidity,%RH
illuminance,lux,lx
illuminance,watt_per_square_meter,w/m2
illuminance,footcandle,ftcd
noise,decibels,dB
noise,decibels_spl,dB SPL
level,inch,in
level,feet,ft
level,mile,mi
level,yard,yd
level,meter,m
level,centi_meter,cm
level,displacement,
level,milli_meter,mm
level,kilometer,km
level,deci_meter,dm
level,micrometer,μm
linearvelocity,feet_per_second,ft/s
linearvelocity,feet_per_minute,ft/min
linearvelocity,miles_per_hour,mph
linearvelocity,meters_per_second,m/s
linearvelocity,kilometers_per_hour,km/h
linearvelocity,millimeters_per_second,mm/s
linearvelocity,millimeters_per_hour,mm/hr
percentage,percent,%
percentage,permille,‰
powerfactor,powerfactor,pf
power,kilovolt_ampere,kVA
power,megavolt_ampere,mVA
power,volt_ampere,VA
power,horsepower,hp
power,gigawatt,GW
power,kilowatt,kW
power,kilobtus_per_hour,kBTU/h
power,btus_per_hour,BTU/h
power,megabtus_per_hour,MBTU/h
power,tons_refrigeration,tonref
power,megawatt,MW
power,milliwatt,mW
power,watt,W
power,kilovolt_ampere_reactive,kVAR
power,megavolt_ampere_reactive,MVAR
power,volt_ampere_reactive,VAR
power,decibel-milliwatts,dBm
hp,horsepower,hp
flux,watt/m2,W/m2
flux,watt/m2K,W/m2K
flux,per_square_centimeter_per_hour,cm²h
pressure,inches_of_mercury,inHg
pressure,kilopascal,kPa
pressure,inches_of_water,in/wc
pressure,pounds_per_square_inch,psi
pressure,pascal,Pa
pressure,bar,bar
pressure,milli_bar,mbar
pressure,hectopascal,hPa
resistance,ohm,Ω
resistance,kiloohm,kΩ
resistance,thermal,Km2/W
resistance,siemens_per_meter,S/m
specificenthalpy,btu_per_pound,BTU/lb
specificenthalpy,btus_per_pound_dry_air,btu/lb_dry
specificenthalpy,joules_per_kilogram,J/kg
temperature,fahrenheit,°F
temperature,celsius,°C
temperature,kelvin,K
voltage,volt,V
voltage,mega_volt,MV
voltage,kilo_volt,kV
voltage,milli_volt,mV
voltage,micro_volt,µV
volume,gallon,gal
volume,cubic_inch,in³
volume,cubic_foot,ft³
volume,m_cubic_foot,Mcf
volume,cubic_yard,yd³
volume,cubic_meter,m³
volume,litre,L
volume,millilitres,mL
volume,picocuries_per_liter,pCi/L
volume,cubic_centimeter,cm³
time,day,d
time,hour,hr
time,week,wk
time,minute,min
time,second,sec
time,year,yr
angle,degrees_angular,deg
angle,degrees_phase,degPh
angularvelocity,revolutions_per_minute,rpm
luminescence,candela,cd
luminescence,footcandle,ftcd
cost,dollar,$
cost,euro,€
cost,pound,£
cost,yen,¥
pH,pH,pH
